Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Imp Head (Elder),,-,Head,Ancient mask with an animal motif,"Head covering made from the largely unaltered head of an impish golem. Resembling an elder, it holds trace amounts of arcane knowledge.",8.1,5.8,5.2,5.8,6.1,5.0,5.8,4.8,5.0,35,35,-,20,-,20,8,200,White,Yes,1085000,108,5000,14870,14870,0,40,503100,6108500,-1,-1,
Nox Mirrorhelm,,-,Head,Shining helm decorated with a mirror,"Helm fashioned from a crystal looking-glass. One among the Eternal City's ritual implements. Easily broken and weak against striking attacks. Worn by those committed to high treason, it wards off the intervention of the Greater Will and its vassal Fingers.",7.5,4.0,3.4,5.5,5.0,6.7,5.3,4.2,5.3,29,33,-,26,-,42,4,1000,White,Yes,1300000,130,0000,14950,14950,0,40,503110,-1,-1,-1,
Iji's Mirrorhelm,,-,Head,Shining helm decorated on all sides with mirrors,"Helm fashioned from a crystal looking-glass, said to have never left War Counselor Iji's head. Easily broken and weak against striking attacks. Worn by those committed to high treason, it wards off the intervention of the Greater Will and its vassal Fingers. Iji was afraid. Terrified of his own treachery.",7.5,3.8,3.8,5.2,5.2,6.2,4.6,4.8,5.8,22,42,-,26,-,39,5,1000,White,Yes,1301000,130,1000,14960,14960,0,40,503120,-1,-1,-1,
Silver Tear Mask,,-,Head,Head covering formed from silver tears,"Mask fashioned from the corpse of a formless Silver Tear, supported by its hardened, shed husk. Greatly increases arcane to the detriment of physical attack power. To imitate the imitator is a cunning play indeed.",4.6,4.2,3.6,3.8,3.1,5.5,5.2,5.0,5.3,26,20,-,44,-,44,3,200,White,Yes,1090000,109,0000,14880,14880,0,40,503130,6109000,-1,-1,
Envoy Crown,,-,Head,Head concealing silver robe,"The soft bundle worn on the head by Oracle Envoys. Densely wrapped in several layers of cloth. Raises the potency of bubble-based skills. No one knows what the cloth hides, but some claim to have heard a faint whimpering from inside. It must have been their imagination.",3.8,2.8,3.1,3.1,2.8,5.3,4.7,4.9,5.5,27,15,-,46,-,46,2,100,White,Yes,820000,82,0000,14300,14300,0,40,503140,6082000,-1,-1,
Octopus Head,,-,Head,Helm modeled after a Land Octopus,A land octopus whelp worn directly on the head. Has a lingering warmth reminiscent of human skin. Those who can withstand the smell will find its organic elasticity excellent for negating strikes.,3.6,3.4,5.4,2.8,2.8,4.0,3.6,4.0,3.8,31,14,-,23,-,23,2,100,White,Yes,1110000,111,0000,14920,14920,0,40,503150,-1,-1,-1,
Jar,,-,Head,This sturdy jar might serve well as a helm,"Jar that fits cleanly over the head when upturned. Made with pride by Iron Fist Alexander. In a uniquely jarlike gesture of friendship, it boosts the power of throwing pot items.",6.8,6.8,3.4,7.0,6.8,4.7,4.9,4.6,4.7,24,33,-,16,-,15,8,100,White,Yes,1120000,112,0000,14930,14930,0,40,503160,6112000,-1,-1,
Albinauric Mask,,-,Head,Helm modeled after the silent Frog People,"Mask made from the largely unaltered hide of a young Albinauric. Raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears. A far cry from godskin, this Albinauric hide mask is the product of malicious mockery.",3.8,4.0,3.1,4.0,3.8,2.5,3.1,2.1,2.5,12,23,-,10,-,10,3,100,White,Yes,1060000,106,0000,14800,14800,0,40,503170,6106000,-1,-1,
Black Wolf Mask,,-,Head,Helm made with the head of an old wolf,A mask fashioned after the head of a black wolf. Relic of an assassin who assumed the guise of Ranni the Witch's loyal shadow. The likeness is striking.,5.9,5.2,4.6,5.2,5.5,4.0,4.5,3.6,4.2,16,33,-,11,-,11,8,500,Purple,Yes,170000,17,0000,13170,13170,0,40,503180,-1,-1,-1,
Blue Cloth Cowl,,-,Head,"Cowl of a nomadic warrior, made of blue cloth","Cowl of a nomadic warrior. The blue color of its fabric symbolizes brisk waters, as fluid and flowing as the sword in the hand of its wearer. Just as still waters turn foul, stagnation leads to decay. Warriors must remain ever drifting.",2.7,2.8,2.8,2.3,2.3,3.1,3.4,3.8,2.8,24,15,-,18,-,18,1,100,Purple,Yes,670000,67,0000,14030,14030,0,50,504000,-1,-1,-1,
Crimson Hood,,-,Head,Hooded cloak of expatriated royalty,"A hooded cloak of vivid crimson. Worn by expatriated royalty. Increases vigor. Such cloaks were gifted to those who departed on journeys without specific orders, to faraway lands from which they would never return. In other words, the gift of a cloak made it easier for undesirables to be on their way. Roderika never once saw the guidance of grace.",1.7,1.4,1.8,1.4,1.8,4.6,4.6,4.5,4.6,16,9,-,27,-,29,0,500,Purple,Yes,740000,74,0000,14130,14130,0,50,504010,6074000,-1,-1,
Navy Hood,,-,Head,Hooded cloak of expatriated royalty,"A hooded cloak of deep navy. Worn by expatriated royalty. Increases mind. Such cloaks were gifted to those who departed on missions to faraway lands, from which they would never return. But what choice did they have, having seen the guidance of grace?",1.7,1.4,2.1,1.8,0.9,4.6,4.7,4.4,4.5,20,10,-,29,-,27,0,500,Purple,Yes,741000,74,1000,14140,14140,0,50,504020,6074100,-1,-1,
White Mask,,-,Head,Strange birch mask that hides one's expression,"Bloodstained, faintly grinning white mask. Worn by war surgeons who were effectively mercy killers. The Lord of Blood's curse enlivens the wearer when bloodletting occurs. Slightly raises attack power when there is blood loss nearby.",3.2,2.7,3.0,3.3,2.7,3.5,3.7,3.9,3.7,23,18,-,21,-,22,2,100,Purple,Yes,680000,68,0000,14040,14040,0,50,504030,6068000,-1,-1,
Nomadic Merchant's Chapeau,,-,Head,Peddler Kalé's hat,"Chapeau of the nomadic merchants. Decorated with tiny gems in a wide spectrum of colors. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.",3.0,2.8,3.1,2.5,2.3,3.4,3.4,3.4,3.1,24,14,-,31,-,20,1,100,White,Yes,250000,25,0000,13320,13320,0,50,504040,-1,-1,-1,
Bandit Mask,,-,Head,Dirty garb worn by bandits,"Mask of black cloth that covers the mouth. Favored by bandits for hiding their faces, it also provides some protection against poison.",3.0,2.8,3.1,3.1,3.1,3.1,3.4,3.6,3.1,30,14,-,14,-,16,0,100,White,Yes,1401000,140,1000,14980,14980,0,50,504050,-1,-1,-1,
Black Hood,,-,Head,Dirty hood worn by bandits,"Hood of lusterless black fabric that conceals its wearer's identity. In this world, there is very little that must necessarily be known.",3.0,2.8,3.1,3.1,3.1,3.1,3.4,3.6,3.1,33,16,-,16,-,18,1,100,White,Yes,1400000,140,0000,14970,14970,0,50,504060,-1,-1,-1,
Confessor Hood,,-,Head,Black hood of those who kill for a living,"Black hood for blending in with the darkness. Worn by church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",3.3,2.8,3.6,2.8,3.1,3.8,3.8,4.2,3.4,26,20,-,20,-,22,2,100,White,Yes,880000,88,0000,14420,14420,0,50,504070,-1,-1,-1,
Confessor Hood (Altered),,-,Head,Mask of those who kill for a living,Cloth headwrap worn under a church confessor's black hood. Such hoods are made for blending in with the darkness.,2.7,2.3,3.1,2.3,2.5,3.4,3.4,3.8,2.8,21,14,-,14,-,16,0,100,White,Yes,881000,88,1000,14430,14430,0,50,504080,-1,-1,-1,
Omensmirk Mask,,-,Head,Mask worn by Executioners,"Mask with long, hideously twisted horns worn by the Omenkillers. Increases strength. Bears the smirking face of an elder, twisted in wicked delight. This visage is carved in the image of the evil spirits that haunt the Omen in their nightmares.",3.0,3.1,2.8,2.5,2.5,3.1,3.4,4.0,3.6,29,12,-,20,-,20,2,200,White,Yes,1890000,189,0000,15270,15270,0,50,504090,6189000,-1,-1,
Skeletal Mask,,-,Head,Hood worn by followers of the deadly birds,"Skeletal mask that tightly grips the face. Worn by the assassins of Ravenmount. This ritual implement relentlessly digs into the wearer's face, preserving one's human instincts while dressed in imitation of the Deathbirds.",3.0,2.5,2.8,3.1,3.1,3.4,3.4,3.6,3.1,23,14,-,24,-,24,1,100,White,Yes,930000,93,0000,14530,14530,0,50,504100,-1,-1,-1,
Foot Soldier Helm,,-,Head,Helm used by Caelid Wilds Patrol Soldiers,Wholly unembellished iron helm. Widely issued to foot soldiers in a lord's army.,3.6,3.6,3.4,3.1,3.1,3.8,4.2,4.2,3.8,27,18,-,23,-,23,2,200,White,Yes,1860000,186,0000,15240,15240,0,60,505000,-1,-1,-1,
Foot Soldier Helmet,,-,Head,Helm used by Raya Lucaria Academy Soldiers,Helmet with a protective metal plate. Widely issued to foot soldiers in a lord's army.,3.6,3.4,3.4,3.6,3.6,4.0,4.0,4.0,3.6,27,18,-,23,-,23,2,200,White,Yes,1840000,184,0000,15220,15220,0,60,505010,-1,-1,-1,
Foot Soldier Cap,,-,Head,Helm used by Stormveil Soldiers,Flanged iron cap widely issued to foot soldiers in a lord's army.,3.6,3.4,3.6,3.4,3.4,3.8,4.0,4.2,3.8,27,18,-,23,-,23,2,200,White,Yes,1830000,183,0000,15210,15210,0,60,505020,-1,-1,-1,
Gilded Foot Soldier Cap,,-,Head,Helm used by Capital Soldiers,Flanged cap made from gilded iron. Issued to foot soldiers protecting the royal capital of Leyndell.,3.6,3.4,3.8,3.1,3.6,3.6,3.8,4.4,3.8,27,18,-,23,-,23,2,200,White,Yes,1850000,185,0000,15230,15230,0,60,505030,-1,-1,-1,
Sacred Crown Helm,,-,Head,Helm used by Miquella's Soldiers,"Flanged iron cap adorned with a crown of unalloyed gold. Increases faith. Worn by foot soldiers sworn to the Haligtree. Who is it that Miquella shall bless, if not the low and the meek?",3.6,3.4,3.8,3.1,3.6,3.6,3.8,4.2,4.0,27,18,-,23,-,24,2,200,White,Yes,1880000,188,0000,15260,15260,0,60,505040,6188000,-1,-1,
Highwayman Hood,,-,Head,Hood worn by cave-dwelling foot soldiers,Hideously stained and ragged hood. Worn by former foot soldiers who have turned to banditry.,3.3,2.8,3.6,2.8,3.1,3.8,3.8,4.0,3.6,24,15,-,22,-,22,2,100,White,Yes,1980000,198,0000,15380,15380,0,60,505050,-1,-1,-1,
Vulgar Militia Helm,,-,Head,Helm worn by wandering soldiers,"Helm worn by lean, mean, and filthy militiamen. The upward extension serves to create an appearance of larger size, however slightly.",3.6,3.4,3.8,3.6,3.1,3.8,3.8,4.0,3.8,31,16,-,23,-,23,2,10,White,Yes,420000,42,0000,13600,13600,0,60,505060,-1,-1,-1,
Duelist Helm,,-,Head,Bronze helm adorned with many snakes,"Bronze helm decorated with innumerable snakes. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes. The snake is viewed as a traitor to the Erdtree, and the audience delighted in seeing these bronze effigies beaten and battered.",6.2,5.8,5.2,6.1,6.1,4.0,4.5,3.6,4.2,24,24,-,11,-,12,8,200,White,Yes,310000,31,0000,13430,13430,0,60,505070,6031000,-1,-1,
Rotten Duelist Helm,,-,Head,Scarlet-bronze helm adorned with many snakes,"Bronze helm decorated with innumerable snakes, eaten through by scarlet rot. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes.",6.4,5.5,4.6,5.8,5.5,4.5,4.6,4.4,4.5,31,31,-,14,-,14,8,200,White,Yes,2000000,200,0000,15410,15410,0,60,505080,6200000,-1,-1,
Nox Monk Hood,,-,Head,Hood worn by members of the Empyrean family,"Silk hood worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",3.0,2.8,3.1,2.8,2.5,4.0,3.8,3.8,3.1,24,15,-,18,-,18,1,200,White,Yes,290000,29,0000,13390,13390,0,60,505090,-1,-1,-1,
Nox Monk Hood (Altered),,-,Head,Headband worn by members of the Empyrean family,"Hood worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",2.7,2.5,2.8,2.5,2.3,3.8,3.6,3.6,2.8,21,12,-,14,-,14,0,200,White,Yes,291000,29,1000,13400,13400,0,60,505100,-1,-1,-1,
Nox Swordstress Crown,,-,Head,Crown worn by members of the Empyrean family,"Crown worn by swordstresses of the Eternal City. These women are the personal guards of the nightmaidens, and the silk hides their eyes. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",3.3,2.8,3.4,2.8,3.1,4.4,3.6,4.2,3.8,24,15,-,22,-,22,2,200,White,Yes,292000,29,2000,13410,13410,0,60,505110,-1,-1,-1,
Nox Swordstress Crown (Altered),,-,Head,Crown worn by members of the Empyrean family,"Crown worn by swordstresses of the Eternal City. The silk eye covering is removed, flaunting convention. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",2.7,2.3,2.8,2.3,2.5,4.0,3.1,3.8,3.4,21,11,-,17,-,17,0,200,Purple,Yes,294000,29,4000,15470,15470,0,60,505120,-1,-1,-1,
Night Maiden Twin Crown,,-,Head,Crown worn by members of the Empyrean family,"Twin crowns worn by the nightmaidens of the Eternal City. Indicates the highest clerical rank, and hides the eyes with silk. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",3.3,2.5,3.1,2.5,3.4,4.2,3.8,4.0,4.2,26,15,-,22,-,22,2,200,Purple,Yes,293000,29,3000,15460,15460,0,60,505130,-1,-1,-1,
Champion Headband,,-,Head,Headband reserved for the badlands' bravest,"Headband reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",2.7,2.3,3.1,2.5,2.8,2.8,3.4,3.6,3.4,22,14,-,18,-,16,2,100,Purple,Yes,730000,73,0000,14120,14120,0,60,505140,-1,-1,-1,
Chain Coif,,,Head,Helm made of woven chain,"Coif made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, it offers dependable protection.",3.8,4.2,3.1,4.6,4.2,2.5,3.8,2.1,2.8,11,18,-,5,-,8,4,200,Purple,Yes,1100000,110,0000,14890,14895,0,70,506000,-1,-1,-1,
Iron Helmet,,-,Head,An ordinary iron helmet,An iron helmet showing rust on its edges. Cloth covering the mouth and neck provides some resistance to poison and other irritants.,3.8,4.4,3.1,4.0,4.2,2.5,3.1,2.3,3.1,12,18,-,8,-,8,4,200,Purple,Yes,40000,4,0000,13000,13000,0,70,506010,-1,-1,-1,
Godrick Soldier Helm,,-,Head,Helm used by Stormveil Knights,"Helm worn by soldiers loyal to Godrick the Grafted. Made from durable iron, layered with a chainmail coif beneath.",4.0,4.4,3.6,4.4,4.2,3.1,3.6,2.5,3.1,12,22,-,9,-,9,5,100,Purple,Yes,1700000,170,0000,15010,15010,0,70,506020,-1,-1,-1,
Raya Lucarian Helm,,-,Head,Helm used by Raya Lucaria Academy Knights,Helm worn by Raya Lucaria Academy soldiers. Its brow is adorned with a single cuckoo's feather.,4.0,4.4,3.4,4.6,4.4,3.4,3.6,2.3,2.8,12,22,-,9,-,9,5,100,Purple,Yes,1710000,171,0000,15020,15020,0,70,506030,-1,-1,-1,
Radahn Soldier Helm,,-,Head,Helm used by Caelid Wilds Knights,Helm worn by soldiers who fought by General Radahn's side. Its visor is fashioned after a lion's fangs.,4.0,4.6,3.4,4.2,4.0,3.1,3.8,2.5,3.1,12,20,-,9,-,10,5,100,Purple,Yes,1730000,173,0000,15040,15040,0,70,506040,-1,-1,-1,
Leyndell Soldier Helm,,-,Head,Helm used by Capital Knights,"Helm worn by soldiers sworn to defend the royal capital of Leyndell. Made from durable iron, layered with a chainmail coif beneath.",4.0,4.4,3.8,4.2,4.4,2.8,3.4,2.8,3.1,12,22,-,9,-,9,5,100,Purple,Yes,1720000,172,0000,15030,15030,0,70,506050,-1,-1,-1,
Haligtree Helm,,-,Head,Helm used by Knights of Miquella,Helm worn by soldiers sworn to the Haligtree. An iron helm graced by a crown of unalloyed gold. Increases faith.,4.0,4.4,3.8,4.2,4.4,2.8,3.4,2.5,3.4,12,22,-,9,-,10,4,100,Purple,Yes,1750000,175,0000,15060,15060,0,70,506060,6175000,-1,-1,
Exile Hood,,-,Head,Deep red hood that covers the whole head,"Deep red hood that covers the whole head. Worn by soldiers sent to the penal colonies, who were required to keep their faces hidden.",4.0,4.4,3.4,4.6,4.4,2.8,3.8,2.3,3.4,12,23,-,9,-,8,4,100,Purple,Yes,190000,19,0000,13210,13210,0,70,506070,-1,-1,-1,
Kaiden Helm,,-,Head,Helm worn by Kaiden sellswords,"Helm worn by Kaiden sellswords. These hulking, fearless mercenaries, said to hail from the mountaintops of the wintry north, are adept at fighting on horseback. Kaiden is the name of their home settlement.",4.0,4.4,3.4,4.4,4.4,3.1,3.4,2.8,3.1,12,22,-,9,-,9,5,100,Purple,Yes,50000,5,0000,13010,13010,0,70,506080,-1,-1,-1,
Land of Reeds Helm,,-,Head,Helm of a warrior from the land of reeds,"Helm made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The Land of Reeds has long been locked in a miserable civil war, during which time it has remained alienated from the cultures of its neighbors. Little wonder that the entire nation has succumbed to blood-soaked madness, or so it is said.",3.6,3.1,3.4,4.8,3.4,3.6,4.0,4.2,3.8,26,22,-,0,-,23,2,200,Purple,Yes,870000,87,0000,14390,14390,0,70,506090,-1,-1,-1,
